spot_location_1,spot_location_2,spot_location_3,gene,is_noise,clustermap
202,520,30,1,0,41.0
204,899,28,1,-1,-1.0
234,545,28,1,0,-1.0
236,542,29,1,0,-1.0
237,536,28,1,0,-1.0
257,650,28,1,-1,-1.0
268,671,28,1,-1,-1.0
303,44,33,1,0,691.0
309,685,27,1,0,61.0
335,275,28,1,0,396.0
343,858,28,1,0,210.0
380,204,28,1,0,351.0
394,815,28,1,0,413.0
406,215,28,1,0,351.0
415,512,28,1,0,42.0
417,581,28,1,0,-1.0
430,557,27,1,0,401.0
436,564,30,1,0,401.0
458,591,28,1,0,1441.0
484,590,28,1,0,1441.0
529,59,28,1,0,679.0
556,269,28,1,-1,-1.0
629,473,28,1,0,219.0
636,546,28,1,0,30.0
679,542,28,1,0,-1.0
683,589,28,1,0,212.0
708,470,28,1,-1,-1.0
711,547,28,1,0,695.0
715,476,28,1,-1,-1.0
717,566,28,1,0,354.0
727,107,30,1,-1,-1.0
726,520,28,1,-1,-1.0
733,586,27,1,0,354.0
739,470,28,1,0,659.0
743,403,28,1,0,335.0
747,617,28,1,0,363.0
760,403,28,1,0,335.0
763,523,29,1,0,642.0
766,615,28,1,0,1447.0
783,529,27,1,0,250.0
876,516,28,1,0,398.0
879,514,28,1,0,216.0
901,468,27,1,0,228.0
901,518,28,1,0,216.0
905,510,29,1,0,216.0
908,31,30,1,0,1207.0
905,528,29,1,0,216.0
908,513,28,1,0,216.0
908,928,36,1,0,225.0
914,541,30,1,0,405.0
922,946,30,1,0,225.0
926,531,28,1,0,405.0
936,563,28,1,0,1434.0
946,543,28,1,0,405.0
946,572,27,1,0,1434.0
951,583,28,1,0,1434.0
966,569,30,1,0,1434.0
976,573,29,1,0,1434.0
977,594,28,1,0,1434.0
1001,635,29,1,0,1143.0
1009,603,27,1,-1,-1.0
1014,993,47,1,0,-1.0
11,259,32,1,0,1311.0
14,509,28,1,0,33.0
31,562,30,1,0,635.0
36,554,28,1,0,635.0
81,568,29,1,0,1437.0
83,562,28,1,0,1427.0
83,503,30,1,0,1405.0
84,565,29,1,0,1427.0
88,595,29,1,0,486.0
92,570,29,1,0,1427.0
92,540,28,1,0,1427.0
116,599,31,1,0,74.0
117,493,29,1,0,1046.0
127,608,29,1,0,74.0
139,587,29,1,0,74.0
145,598,29,1,0,1444.0
159,524,29,1,-1,-1.0
162,550,29,1,0,-1.0
170,606,29,1,0,666.0
182,615,30,1,0,666.0
183,532,30,1,0,236.0
205,534,29,1,0,236.0
222,554,29,1,0,1433.0
228,538,29,1,0,-1.0
232,153,29,1,0,39.0
232,537,29,1,0,-1.0
239,540,29,1,0,-1.0
251,546,29,1,0,49.0
258,571,29,1,0,1438.0
267,578,29,1,0,230.0
272,556,28,1,-1,-1.0
275,565,29,1,0,230.0
276,580,30,1,0,230.0
283,564,29,1,0,230.0
283,579,33,1,0,230.0
293,569,29,1,0,230.0
294,581,29,1,0,230.0
302,820,28,1,0,-1.0
306,168,32,1,0,253.0
309,274,29,1,0,396.0
316,677,30,1,0,344.0
322,699,31,1,0,61.0
383,221,28,1,0,351.0
383,203,29,1,0,351.0
391,193,29,1,0,355.0
390,210,29,1,0,351.0
406,187,29,1,0,23.0
413,519,29,1,0,42.0
413,582,29,1,0,-1.0
427,566,29,1,0,-1.0
428,549,29,1,0,401.0
432,554,30,1,0,401.0
434,539,29,1,0,401.0
466,598,29,1,0,1441.0
469,230,29,1,0,24.0
475,273,29,1,0,1319.0
483,119,29,1,0,662.0
484,510,30,1,0,25.0
483,606,29,1,0,1441.0
504,552,29,1,-1,-1.0
506,251,30,1,0,678.0
547,171,30,1,-1,-1.0
574,800,29,1,-1,-1.0
